id,kind,text,paired_text,expected_label,paired_expected_label,minimum_delta,phenomenon
dir-19,DIR,Cửa đóng chắc và không có tiếng lọc xọc.,Cửa đóng lỏng và có tiếng lọc xọc.,positive,negative,0.20,negation
dir-20,DIR,Lần lái thử BYD Sealion 6 khá dễ chịu.,Lần lái thử BYD Sealion 6 khá mệt mỏi.,positive,negative,0.15,unseen_model_names
mft-21,MFT,"Xe dùng hộp số tự động 6 cấp, dung tích bình xăng 55 lít.",,neutral,,0,specification
mft-22,MFT,Đại lý hẹn giao xe vào cuối tháng này.,,neutral,,0,specification
mft-23,MFT,"Bản này có thêm màu xám, giá không đổi so với năm ngoái.",,neutral,,0,specification
mft-24,MFT,Hôm qua mình lái thử 30 phút quanh khu đô thị.,,neutral,,0,specification
inv-21,INV,Xe có cửa sổ trời toàn cảnh.,Xe co cua so troi toan canh.,neutral,neutral,0,missing_diacritics
inv-22,INV,Bảo hành 5 năm hoặc 150.000 km.,Bảo hành 5 năm hoặc 150.000 km. 🙂,neutral,neutral,0,emoji
inv-23,INV,Ghế lái chỉnh điện 8 hướng.,Ghe lai chinh dien 8 huong.,neutral,neutral,0,missing_diacritics
mft-25,MFT,"Tuyệt vời, xe mới một tuần đã nằm xưởng hai lần.",,negative,,0,restrained_sarcasm
mft-26,MFT,"Đúng là xe sang, mở điều hòa là nghe tiếng ve kêu.",,negative,,0,restrained_sarcasm
mft-27,MFT,"Chúc mừng mình, mua xe xong giá xăng tăng luôn.",,negative,,0,restrained_sarcasm
dir-21,DIR,Hài lòng với mức tiêu hao nhiên liệu của xe.,"Hài lòng ghê, đổ đầy bình đi được có 200 cây.",positive,negative,0.2,restrained_sarcasm
mft-28,MFT,Không thể chê được độ êm của động cơ này.,,positive,,0,negation
mft-29,MFT,Chạy đường dài không hề thấy mệt chút nào.,,positive,,0,negation
dir-22,DIR,"Xe ồn, không muốn ngồi lâu.","Xe không ồn chút nào, ngồi lâu vẫn thoải mái.",negative,positive,0.2,negation
