id,raw_text,normalized_text,label,aspect,style,noise_types,difficulty,canonical_group_id,generation_batch,approved
curated-v2-0010,"Động cơ diesel của Ford Everest ồn và rung khi nguội máy, sáng sớm nổ lên cả xóm nghe.","Động cơ diesel của Ford Everest ồn và rung khi nguội máy, sáng sớm nổ lên cả xóm nghe.",negative,động cơ,review,[],medium,curated-v2-g0010,curated-v2,approved
curated-v2-0011,"Đi 30.000 km thì ghế trước của Toyota Corolla Cross đã xẹp lún, ngồi lâu ê ối cả lưng.","Đi 30.000 km thì ghế trước của Toyota Corolla Cross đã xẹp lún, ngồi lâu ê ối cả lưng.",negative,nội thất,review,[],medium,curated-v2-g0011,curated-v2,approved
curated-v2-0012,"Lăn bánh có 1 năm mà giá xe Hyundai Creta đã rớt mạnh, bán lại thiệt nặng hơn tưởng tượng.","Lăn bánh có 1 năm mà giá xe Hyundai Creta đã rớt mạnh, bán lại thiệt nặng hơn tưởng tượng.",negative,giá cả,review,[],easy,curated-v2-g0012,curated-v2,approved
curated-v2-0013,"Mức tiêu hao của Kia K3 dao động 6.5 đến 7 lít/100km tùy tuyến, đúng như hãng công bố.","Mức tiêu hao của Kia K3 dao động 6.5 đến 7 lít/100km tùy tuyến, đúng như hãng công bố.",neutral,mức tiêu hao nhiên liệu,review,[],easy,curated-v2-g0013,curated-v2,approved
curated-v2-0014,"Nội thất Vinfast VF 8 dùng vật liệu khá ổn trong tầm giá, chẳng sang cũng chẳng tệ.","Nội thất Vinfast Vinfast 8 dùng vật liệu khá ổn trong tầm giá, chẳng sang cũng chẳng tệ.",neutral,nội thất,review,[],medium,curated-v2-g0014,curated-v2,approved
curated-v2-0015,"Giá xe Mercedes GLC 2026 nhỉnh hơn thế hệ cũ chừng 60 triệu, coi như điều chỉnh theo thị trường.","Giá xe Mercedes GLC 2026 nhỉnh hơn thế hệ cũ chừng 60 triệu, coi như điều chỉnh theo thị trường.",neutral,giá cả,review,[],medium,curated-v2-g0015,curated-v2,approved
curated-v2-0016,"Động cơ hybrid của Toyota Corolla Cross vận hành mượt, tiết kiệm nhiên liệu rõ rệt so với bản xăng.","Động cơ hybrid của Toyota Corolla Cross vận hành mượt, tiết kiệm nhiên liệu rõ rệt so với bản xăng.",positive,động cơ,review,[],easy,curated-v2-g0016,curated-v2,approved
curated-v2-0017,"Vinfast VF 5plus đi phố tiêu hao khoảng 8 lít, chấp nhận được với chiếc xe nặng cỡ này.","Vinfast Vinfast 5plus đi phố tiêu hao khoảng 8 lít, chấp nhận được với chiếc xe nặng cỡ này.",neutral,mức tiêu hao nhiên liệu,review,[],medium,curated-v2-g0017,curated-v2,approved
curated-v2-0018,"Cabin Hyundai Accent cách âm ở mức trung bình, tốc độ cao vẫn nghe hơi nhiều tiếng đường.","Cabin Hyundai Accent cách âm ở mức trung bình, tốc độ cao vẫn nghe hơi nhiều tiếng đường.",neutral,nội thất,review,[],easy,curated-v2-g0018,curated-v2,approved
curated-v2-0019,"Giá Toyota Fortuner tuy cao nhưng giữ giá tốt, bán sau 5 năm thiệt hại ít hơn hẳn mặt bằng chung.","Giá Toyota Fortuner tuy cao nhưng giữ giá tốt, bán sau 5 năm thiệt hại ít hơn hẳn mặt bằng chung.",positive,giá cả,review,[],medium,curated-v2-g0019,curated-v2,approved
curated-v2-0020,"Máy Kia Seltos 1.4 turbo bốc ở dải số thấp, chạy trong phố vượt xe thoải mái không chậm chân.","Máy Kia Seltos 1.4 turbo bốc ở dải số thấp, chạy trong phố vượt xe thoải mái không chậm chân.",positive,động cơ,review,[],easy,curated-v2-g0020,curated-v2,approved
curated-v2-0021,"Toy Vios tiêu hao chỉ 5.8 lít/100km đường hỗn hợp, chạy nghề tiết kiệm thấy rõ mỗi tháng.","Toyota Vios tiêu hao chỉ 5.8 lít/100km đường hỗn hợp, chạy nghề tiết kiệm thấy rõ mỗi tháng.",positive,mức tiêu hao nhiên liệu,review,"[""brand_alias""]",easy,curated-v2-g0021,curated-v2,approved
curated-v2-0022,"Nội thất Mazda CX-8 nhiều mùi nhựa mới, mới mua về phải mở cửa xe phơi mấy hôm mới chịu được.","Nội thất Mazda cũng-8 nhiều mùi nhựa mới, mới mua về phải mở cửa xe phơi mấy hôm mới chịu được.",negative,nội thất,review,[],easy,curated-v2-g0022,curated-v2,approved
curated-v2-0023,"Honda Civic bản 2025 tăng giá gần 100 triệu so với đời trước, đơn giản là không còn hấp dẫn.","Honda Civic bản 2025 tăng giá gần 100 triệu so với đời trước, đơn giản là không còn hấp dẫn.",negative,giá cả,review,[],medium,curated-v2-g0023,curated-v2,approved
curated-v2-0024,"Động cơ Vinfast VF 9 nặng gần 2.5 tấn nhưng tăng tốc vẫn khá mượt khi pin đầy, hết nửa pin là chậm dần.","Động cơ Vinfast Vinfast 9 nặng gần 2.5 tấn nhưng tăng tốc vẫn khá mượt khi pin đầy, hết nửa pin là chậm dần.",neutral,động cơ,review,[],hard,curated-v2-g0024,curated-v2,approved
curated-v2-0025,"Máy Mercedes E200 êm như nhung, chạy 150km liên tục không nghe một tiếng động lạ nào cả.","Máy Mercedes E200 êm như nhung, chạy 150km liên tục không nghe một tiếng động lạ nào cả.",positive,động cơ,review,[],easy,curated-v2-g0025,curated-v2,approved
curated-v2-0026,"Xăng của BMW 520i khoảng 7.5 lít/100km trên cao tốc, với sedan hạng sang thì thuộc nhóm tốt.","Xăng của BMW 520i khoảng 7.5 lít/100km trên cao tốc, với sedan hạng sang thì thuộc nhóm tốt.",positive,mức tiêu hao nhiên liệu,review,[],medium,curated-v2-g0026,curated-v2,approved
curated-v2-0027,"Ford Territory máy 1.5 turbo có phần nhả hơi ít, chạy phố 9 lít là bình thường thôi anh em ạ.","Ford Territory máy 1.5 turbo có phần nhả hơi ít, chạy phố 9 lít là bình thường thôi anh em ạ.",neutral,mức tiêu hao nhiên liệu,review,[],easy,curated-v2-g0027,curated-v2,approved
curated-v2-0028,"Động cơ của Kia Carnival kéo đủ 7 người cùng hành lý vẫn không ì, leo dốc Đà Lạt phàn nàn được.","Động cơ của Kia Carnival kéo đủ 7 người cùng hành lý vẫn không ì, leo dốc Đà Lạt phàn nàn được.",positive,động cơ,review,[],medium,curated-v2-g0028,curated-v2,approved
curated-v2-0029,"Vinfast VF 7 đi 500km đầu máy hơi kêu, sau bảo dưỡng lần đầu thì êm lại bình thường.","Vinfast Vinfast 7 đi 500km đầu máy hơi kêu, sau bảo dưỡng lần đầu thì êm lại bình thường.",neutral,động cơ,review,[],medium,curated-v2-g0029,curated-v2,approved
curated-v2-0030,"So với xe Nhật, máy Hyundai Stargazer chạy đường trường có phần nhanh chán hơn, dải điện hồi đáp đều.","So với xe Nhật, máy Hyundai Stargazer chạy đường trường có phần nhanh chán hơn, dải điện hồi đáp đều.",positive,động cơ,comparison,[],medium,curated-v2-g0030,curated-v2,approved
curated-v2-0031,"Toyota Innova tiêu xăng hơn hẳn Kia Carnival khi kéo đủ người, khác nhau tới 2 lít mỗi trăm cây.","Toyota Innova tiêu xăng hơn hẳn Kia Carnival khi kéo đủ người, khác nhau tới 2 lít mỗi trăm cây.",negative,mức tiêu hao nhiên liệu,comparison,[],medium,curated-v2-g0031,curated-v2,approved
curated-v2-0032,"Vinfast rẻ hơn đối thủ Nhật khoảng 100 đến 150 triệu cùng phân khúc, đây là lợi thế rõ nhất.","Vinfast rẻ hơn đối thủ Nhật khoảng 100 đến 150 triệu cùng phân khúc, đây là lợi thế rõ nhất.",positive,giá cả,comparison,[],easy,curated-v2-g0032,curated-v2,approved
curated-v2-0033,"Ghế hàng 3 của Hyundai Stargazer thoải mái hơn Mitsubishi Xpander, hai đứa nhỏ ngồi thoải mái suốt chặng dài.","Ghế hàng 3 của Hyundai Stargazer thoải mái hơn Mitsubishi Xpander, hai đứa nhỏ ngồi thoải mái suốt chặng dài.",positive,nội thất,comparison,[],easy,curated-v2-g0033,curated-v2,approved
curated-v2-0034,"Máy Mazda3 yếu hơn Honda Civic một nhịp ở tầm tốc độ trung bình, ai thích phanh gấp sẽ thấy chậm.","Máy Mazda3 yếu hơn Honda Civic một nhịp ở tầm tốc độ trung bình, ai thích phanh gấp sẽ thấy chậm.",negative,động cơ,comparison,[],medium,curated-v2-g0034,curated-v2,approved
curated-v2-0035,"Về giá trị còn lại sau 5 năm, Toyota giữ tiền tốt hơn Vinfast rõ rệt, đây là điều nhiều người cân nhắc.","Về giá trị còn lại sau 5 năm, Toyota giữ tiền tốt hơn Vinfast rõ rệt, đây là điều nhiều người cân nhắc.",neutral,giá cả,comparison,[],medium,curated-v2-g0035,curated-v2,approved
curated-v2-0036,"Cách âm của Kia K5 tốt hơn Toyota Camry ở dải tiếng gió, nhưng tiếng mặt đường thì ngược lại.","Cách âm của Kia K5 tốt hơn Toyota Camry ở dải tiếng gió, nhưng tiếng mặt đường thì ngược lại.",positive,nội thất,comparison,[],hard,curated-v2-g0036,curated-v2,approved
curated-v2-0037,"Vinfast VF 6 hao hơn Vinfast VF 7 chút xíu dù nhẹ hơn, pin và phương thức chạy quyết định hết.","Vinfast Vinfast 6 hao hơn Vinfast Vinfast 7 chút xíu dù nhẹ hơn, pin và phương thức chạy quyết định hết.",neutral,mức tiêu hao nhiên liệu,comparison,[],medium,curated-v2-g0037,curated-v2,approved
curated-v2-0038,"Nội thất Ford Ranger rít hơn Ford Everest, ai chở gia đình nên chọn Everest cho thoáng ghế sau.","Nội thất Ford Ranger rít hơn Ford Everest, ai chở gia đình nên chọn Everest cho thoáng ghế sau.",neutral,nội thất,comparison,[],easy,curated-v2-g0038,curated-v2,approved
curated-v2-0039,"Máy Mazda CX-8 yếu hơn Hyundai SantaFe khi leo dốc, đoàn 6 người là phải nhả số rõ rệt.","Máy Mazda cũng-8 yếu hơn Hyundai SantaFe khi leo dốc, đoàn 6 người là phải nhả số rõ rệt.",negative,động cơ,comparison,[],medium,curated-v2-g0039,curated-v2,approved
curated-v2-0040,"Kia Morning rẻ nhất phân khúc nhưng trang bị không hề nghèo, so với xe Trung cùng giá vẫn hơn một bậc.","Kia Morning rẻ nhất phân khúc nhưng trang bị không hề nghèo, so với xe Trung cùng giá vẫn hơn một bậc.",positive,giá cả,comparison,[],easy,curated-v2-g0040,curated-v2,approved
curated-v2-0041,"Mitsubishi Attrage tiết kiệm hơn Toyota Vios khoảng nửa lít, nhưng cách âm thì thua xa luôn.","Mitsubishi Attrage tiết kiệm hơn Toyota Vios khoảng nửa lít, nhưng cách âm thì thua xa luôn.",neutral,mức tiêu hao nhiên liệu,comparison,[],medium,curated-v2-g0041,curated-v2,approved
curated-v2-0042,"Toyota Corolla Altis cách âm tốt hơn Mazda3, chạy cao tốc tai không mệt bằng.","Toyota Corolla Altis cách âm tốt hơn Mazda3, chạy cao tốc tai không mệt bằng.",positive,nội thất,comparison,[],easy,curated-v2-g0042,curated-v2,approved
curated-v2-0043,"Xe Trung giá mềm hơn Honda City khoảng 150 triệu, nhưng rồi giữ giá và độ bền thì chuyện khác hẳn.","Xe Trung giá mềm hơn Honda City khoảng 150 triệu, nhưng rồi giữ giá và độ bền thì chuyện khác hẳn.",neutral,giá cả,comparison,[],medium,curated-v2-g0043,curated-v2,approved
curated-v2-0044,"Máy Vinfast VF 6 yếu hơn đối thủ cùng khối, lấy lại bằng mô-men điện ở dải đầu nhưng dài đường là thấy.","Máy Vinfast Vinfast 6 yếu hơn đối thủ cùng khối, lấy lại bằng mô-men điện ở dải đầu nhưng dài đường là thấy.",negative,động cơ,comparison,[],hard,curated-v2-g0044,curated-v2,approved
curated-v2-0045,Động cơ của Vinfast VF 9 lấy được bao nhiêu km khi chạy cao tốc?,Động cơ của Vinfast Vinfast 9 lấy được bao nhiêu km khi chạy cao tốc?,neutral,động cơ,question,[],easy,curated-v2-g0045,curated-v2,approved
curated-v2-0046,Kia Seltos 2026 có máy mới hay vẫn giữ khối 1.4 cũ vậy mọi người?,Kia Seltos 2026 có máy mới hay vẫn giữ khối 1.4 cũ vậy mọi người?,neutral,động cơ,question,[],easy,curated-v2-g0046,curated-v2,approved
curated-v2-0047,"Xăng Vinfast VF 8 cao tốc thực tế bao nhiêu lít, ai chạy dài rồi cho em xin số với.","Xăng Vinfast Vinfast 8 cao tốc thực tế bao nhiêu lít, ai chạy dài rồi cho em xin số với.",neutral,mức tiêu hao nhiên liệu,question,[],easy,curated-v2-g0047,curated-v2,approved
curated-v2-0048,Toyota Fortuner máy dầu có đáng cộng thêm 100 triệu so với máy xăng không anh em?,Toyota Fortuner máy dầu có đáng cộng thêm 100 triệu so với máy xăng không anh em?,neutral,động cơ,question,[],medium,curated-v2-g0048,curated-v2,approved
curated-v2-0049,"Hyundai Accent giá lăn bánh giờ còn bao nhiêu, có khuyến mãi gì cuối năm không?","Hyundai Accent giá lăn bánh giờ còn bao nhiêu, có khuyến mãi gì cuối năm không?",neutral,giá cả,question,[],easy,curated-v2-g0049,curated-v2,approved
curated-v2-0050,Nội thất Kia Carnival có chỉnh điện hàng 3 không hay chỉ hàng 1 vậy mọi người?,Nội thất Kia Carnival có chỉnh điện hàng 3 không hay chỉ hàng 1 vậy mọi người?,neutral,nội thất,question,[],medium,curated-v2-g0050,curated-v2,approved
curated-v2-0051,"Ford Territory có đáng mua hơn Honda CR-V về máy móc không, ai đi cả hai rồi cho xin ý kiến.","Ford Territory có đáng mua hơn Honda CR-V về máy móc không, ai đi cả hai rồi cho xin ý kiến.",positive,động cơ,question,[],medium,curated-v2-g0051,curated-v2,approved
curated-v2-0052,Vinfast VF 5plus chạy 400km mỗi tuần thì có cần sạc giữa đường không các bác?,Vinfast Vinfast 5plus chạy 400km mỗi tuần thì có cần sạc giữa đường không các bác?,neutral,mức tiêu hao nhiên liệu,question,[],easy,curated-v2-g0052,curated-v2,approved
curated-v2-0053,"Mazda CX-5 sau 5 năm máy có ì đi nhiều không, ai dùng lâu rồi trả lời giúp em với.","Mazda cũng-5 sau 5 năm máy có ì đi nhiều không, ai dùng lâu rồi trả lời giúp em với.",negative,động cơ,question,[],medium,curated-v2-g0053,curated-v2,approved
curated-v2-0054,Vinfast VF 7 giá bản cao nhất có đáng chênh 80 triệu so với bản giữa không mọi người?,Vinfast Vinfast 7 giá bản cao nhất có đáng chênh 80 triệu so với bản giữa không mọi người?,negative,giá cả,question,[],medium,curated-v2-g0054,curated-v2,approved
curated-v2-0055,Động cơ Toyota Hilux máy dầu 2.8 có thực sự bền hơn bản 2.4 không anh em ơi?,Động cơ Toyota Hilux máy dầu 2.8 có thực sự bền hơn bản 2.4 không anh em ơi?,positive,động cơ,question,[],medium,curated-v2-g0055,curated-v2,approved
curated-v2-0056,Xe Vinfast chạy quãng 300km đầu máy có cần chạy rớt không hay dùng luôn được?,Xe Vinfast chạy quãng 300km đầu máy có cần chạy rớt không hay dùng luôn được?,neutral,động cơ,question,[],easy,curated-v2-g0056,curated-v2,approved
curated-v2-0057,"Nội thất Mercedes GLB 7 chỗ có chật quá không, chở hai người lớn ba đứa nhỏ có thoải mái không mọi người?","Nội thất Mercedes GLB 7 chỗ có chật quá không, chở hai người lớn ba đứa nhỏ có thoải mái không mọi người?",neutral,nội thất,question,[],hard,curated-v2-g0057,curated-v2,approved
curated-v2-0058,Honda CR-V 2026 giá đang là bao nhiêu và có kèm gói bảo dưỡng không mấy bác?,Honda CR-V 2026 giá đang là bao nhiêu và có kèm gói bảo dưỡng không mấy bác?,neutral,giá cả,question,[],easy,curated-v2-g0058,curated-v2,approved
curated-v2-0059,"Máy BMW 320i chạy phố tiêu hao thực tế bao nhiêu lít, có tốn như lời đồn không?","Máy BMW 320i chạy phố tiêu hao thực tế bao nhiêu lít, có tốn như lời đồn không?",neutral,mức tiêu hao nhiên liệu,question,[],easy,curated-v2-g0059,curated-v2,approved
curated-v2-0060,Toyota Yaris Cross có ghế chỉnh điện ghế lái không hay toàn chỉnh tay hết vậy?,Toyota Yaris Cross có ghế chỉnh điện ghế lái không hay toàn chỉnh tay hết vậy?,negative,nội thất,question,[],medium,curated-v2-g0060,curated-v2,approved
curated-v2-0061,Vinfast VF e34 giờ giá còn bao nhiêu và có chương trình đổi pin mới không mọi người?,Vinfast Vinfast e34 giờ giá còn bao nhiêu và có chương trình đổi pin mới không mọi người?,negative,giá cả,question,[],medium,curated-v2-g0061,curated-v2,approved
curated-v2-0062,"Máy tuyệt, êm và không tiếng ồn gì hết.","Máy tuyệt, êm và không tiếng ồn gì hết.",positive,động cơ,short,[],easy,curated-v2-g0062,curated-v2,approved
curated-v2-0063,"Pin sạc nhanh, 30 phút đạt 80%.","Pin sạc nhanh, 30 phút đạt 80%.",positive,động cơ,short,[],easy,curated-v2-g0063,curated-v2,approved
curated-v2-0064,"Cabin rộng, cửa mở thoáng.","Cabin rộng, cửa mở thoáng.",positive,nội thất,short,[],easy,curated-v2-g0064,curated-v2,approved
curated-v2-0065,"Ghế êm, đồng hồ kỹ thuật số đẹp mắt.","Ghế êm, đồng hồ kỹ thuật số đẹp mắt.",positive,nội thất,short,[],easy,curated-v2-g0065,curated-v2,approved
curated-v2-0066,"Giá mềm, trả góp nhẹ.","Giá mềm, trả góp nhẹ.",positive,giá cả,short,[],easy,curated-v2-g0066,curated-v2,approved
curated-v2-0067,"Máy ì quá, vượt xe khó chịu.","Máy ì quá, vượt xe khó chịu.",negative,động cơ,short,[],easy,curated-v2-g0067,curated-v2,approved
curated-v2-0068,Nội thất kêu lạch cạch ngay năm đầu.,Nội thất kêu lạch cạch ngay năm đầu.,negative,nội thất,short,[],easy,curated-v2-g0068,curated-v2,approved
curated-v2-0069,Giá cao mà trang bị không tương xứng.,Giá cao mà trang bị không tương xứng.,negative,giá cả,short,[],easy,curated-v2-g0069,curated-v2,approved
curated-v2-0070,"Hao xăng bất thường, 10 lít/100km trong phố.","Hao xăng bất thường, 10 lít/100km trong phố.",negative,mức tiêu hao nhiên liệu,short,[],easy,curated-v2-g0070,curated-v2,approved
curated-v2-0071,"Vận hành bình thường, không điểm nhấn.","Vận hành bình thường, không điểm nhấn.",neutral,động cơ,short,[],easy,curated-v2-g0071,curated-v2,approved
curated-v2-0072,"Giá thị trường, không đắt không rẻ.","Giá thị trường, không đắt không rẻ.",neutral,giá cả,short,[],easy,curated-v2-g0072,curated-v2,approved
curated-v2-0073,"Nội thất đủ dùng, không màu mè.","Nội thất đủ dùng, không màu mè.",neutral,nội thất,short,[],easy,curated-v2-g0073,curated-v2,approved
curated-v2-0074,Tiêu hao trung bình tầm 7 lít.,Tiêu hao trung bình tầm 7 lít.,neutral,mức tiêu hao nhiên liệu,short,[],easy,curated-v2-g0074,curated-v2,approved
curated-v2-0075,"Máy Toy chạy bốc quáaa, vượt xe nhẹ tênh luôn.","Máy Toyota chạy bốc quá, vượt xe nhẹ tênh luôn.",positive,động cơ,short,"[""brand_alias"", ""elongation""]",easy,curated-v2-g0075,curated-v2,approved
curated-v2-0076,Nội thất Hyundai tạm ổn nhưng cách âm hơi kém.,Nội thất Hyundai tạm ổn nhưng cách âm hơi kém.,negative,nội thất,short,"[""teencode""]",medium,curated-v2-g0076,curated-v2,approved
curated-v2-0077,Vinfast giá giờ cx cạnh tranh hẳn so với trước.,Vinfast giá giờ cũng cạnh tranh hẳn so với trước.,positive,giá cả,short,"[""teencode""]",medium,curated-v2-g0077,curated-v2,approved
curated-v2-0078,"Kia K3 máy hụt, chậm phản hồi 😡","Kia K3 máy hụt, chậm phản hồi 😡",negative,động cơ,short,"[""emoji""]",easy,curated-v2-g0078,curated-v2,approved
curated-v2-0079,"Honda City máy đc, xăng hơi hao chút thôi.","Honda City máy được, xăng hơi hao chút thôi.",neutral,mức tiêu hao nhiên liệu,short,"[""teencode""]",medium,curated-v2-g0079,curated-v2,approved
curated-v2-0080,"Máy bốc, nội thất ổn, giá hơi chát nhưng đáng.","Máy bốc, nội thất ổn, giá hơi chát nhưng đáng.",positive,giá cả,short,[],medium,curated-v2-g0080,curated-v2,approved
curated-v2-0081,"Vận hành trơn tru, đủ dùng mọi ngày.","Vận hành trơn tru, đủ dùng mọi ngày.",positive,động cơ,conversational,[],easy,curated-v2-g0081,curated-v2,approved
curated-v2-0082,"Xe tôi sạc 2 lần mỗi tuần, mỗi lần 45 phút, cũng tiện đấy chứ.","Xe tôi sạc 2 lần mỗi tuần, mỗi lần 45 phút, cũng tiện đấy chứ.",neutral,mức tiêu hao nhiên liệu,conversational,[],medium,curated-v2-g0082,curated-v2,approved
curated-v2-0083,"Bảo hành Vinfast 7 năm nên tôi chạy rất an tâm, hỏng gì cũng có hãng lo.","Bảo hành Vinfast 7 năm nên tôi chạy rất an tâm, hỏng gì cũng có hãng lo.",positive,dịch vụ hậu mãi,conversational,[],easy,curated-v2-g0083,curated-v2,approved
curated-v2-0084,"Nội thất Toyota Raize nhìn đơn giản nhưng dùng thì tiện, đúng chất Nhật.","Nội thất Toyota Raize nhìn đơn giản nhưng dùng thì tiện, đúng chất Nhật.",neutral,nội thất,conversational,[],easy,curated-v2-g0084,curated-v2,approved
curated-v2-0085,"Động cơ Vinfast Fadil lần nào leo dốc cũng rú lên, nhỏ mà có võ đó mọi người.","Động cơ Vinfast Fadil lần nào leo dốc cũng rú lên, nhỏ mà có võ đó mọi người.",negative,động cơ,conversational,[],medium,curated-v2-g0085,curated-v2,approved
curated-v2-0086,"Mua Mazda CX-8, chủ đại lý giảm ngay 50 triệu, tính ra hời hơn mua trung tâm nhiều.","Mua Mazda cũng-8, chủ đại lý giảm ngay 50 triệu, tính ra hời hơn mua trung tâm nhiều.",positive,giá cả,conversational,[],easy,curated-v2-g0086,curated-v2,approved
curated-v2-0087,"Đi Vinfast VF 6 một tuần, sạc ở nhà ban đêm, sáng ra đầy pin, khỏi ghé trạm.","Đi Vinfast Vinfast 6 một tuần, sạc ở nhà ban đêm, sáng ra đầy pin, khỏi ghé trạm.",positive,mức tiêu hao nhiên liệu,conversational,[],easy,curated-v2-g0087,curated-v2,approved
curated-v2-0088,"Hyundai Tucson bảo dưỡng lần 2 hết có 1 triệu rưỡi, rẻ hơn tưởng tượng của tôi nhiều.","Hyundai Tucson bảo dưỡng lần 2 hết có 1 triệu rưỡi, rẻ hơn tưởng tượng của tôi nhiều.",positive,dịch vụ hậu mãi,conversational,[],easy,curated-v2-g0088,curated-v2,approved
curated-v2-0089,"Máy Kia Seltos của vợ tôi giờ khởi động lúc nào cũng lì lợm, phải đề 2 lần mới nổ 😡","Máy Kia Seltos của vợ tôi giờ khởi động lúc nào cũng lì lợm, phải đề 2 lần mới nổ 😡",negative,động cơ,conversational,"[""emoji""]",medium,curated-v2-g0089,curated-v2,approved
curated-v2-0090,"Toyota Vios của bố 10 năm chưa bao giờ dở chứng giữa đường, tin được thật sự.","Toyota Vios của bố 10 năm chưa bao giờ dở chứng giữa đường, tin được thật sự.",positive,động cơ,conversational,[],easy,curated-v2-g0090,curated-v2,approved
curated-v2-0091,"Vinfast VF 7 giờ cx đông trên đường phết, thấy hãng nội đã khác rồi.","Vinfast Vinfast 7 giờ cũng đông trên đường phết, thấy hãng nội đã khác rồi.",neutral,động cơ,conversational,"[""teencode""]",easy,curated-v2-g0091,curated-v2,approved
curated-v2-0092,"Giá xe Hyundai đang xuống đều mỗi quý, mua sớm hơn là thiệt ngay ý.","Giá xe Hyundai đang xuống đều mỗi quý, mua sớm hơn là thiệt ngay ý.",negative,giá cả,conversational,[],easy,curated-v2-g0092,curated-v2,approved
curated-v2-0093,"Ford Ranger đi phượt 3 năm, chưa lần nào bỏ tôi giữa đường núi.","Ford Ranger đi phượt 3 năm, chưa lần nào bỏ tôi giữa đường núi.",positive,động cơ,conversational,[],medium,curated-v2-g0093,curated-v2,approved
curated-v2-0094,"Toyota Corolla Cross máy dầu là lựa chọn ổn áp nhất phân khúc hiện tại, ý kiến cá nhân thôi.","Toyota Corolla Cross máy dầu là lựa chọn ổn áp nhất phân khúc hiện tại, ý kiến cá nhân thôi.",neutral,động cơ,conversational,[],medium,curated-v2-g0094,curated-v2,approved
curated-v2-0095,"Vinfast vf 7 chạy đêm lên Ba Vì đầy pin vẫn còn 40%, quá ổn cho chuyến cuối tuần.","Vinfast Vinfast 7 chạy đêm lên Ba Vì đầy pin vẫn còn 40%, quá ổn cho chuyến cuối tuần.",positive,mức tiêu hao nhiên liệu,conversational,"[""brand_alias""]",medium,curated-v2-g0095,curated-v2,approved
curated-v2-0096,"Động cơ Mercedes GLB của tôi phát tiếng lách tách khi nguội, hãng bảo là bình thường nhưng tôi không yên tâm.","Động cơ Mercedes GLB của tôi phát tiếng lách tách khi nguội, hãng bảo là bình thường nhưng tôi không yên tâm.",negative,động cơ,conversational,[],medium,curated-v2-g0096,curated-v2,approved
